Agency name,Organisation ID,Actor type,Abbreviation,Donor,Name of implementing partners (if different),Division name,Address,Parish,Neighbourhood name,Sector_Other,Title,Detailed Activity description,Target Population,Number of HHs targeted by activity,Number of individuals targeted by activity,Ongoing / planned / completed / suspended,Start (month),End (month),Livelihood - economic empowerement,Social and legal assistance,"Social services (health, education, basic infrastructure)",Feel free to add any comment or clarification,Name,Position,Email
Cheshire Services Uganda (CSU),,Non Governmental Organisation,Cheshire Services Uganda (CSU),,,Rubaga,"Plot 1833, Kaduyu Road, Kyambogo opposite Inter-University Council of East Africa. P.o. Box 70012, Kampala.",All,,Social Development,,"Girls Education Challenge Transition Project: education sponsorship, livelihoods, health support, rehabilitation, advocacy and campaigning, water and sanitation and every day support for girls with disabilities.",Children with disabilities,,2563 Children with disabilities,Ongoing,March 2013,April 2024,Livelihood,Social assistance,"Education, Health",,Nakiyimba Hajjira / Bwire Magina / Namirimu Josephine,"Child protection and advocacy Manager / Monitorin, Evaluation and Learning Officer / Communications Officer",nakiyimba.hope@gmail.com / maginabwire@gmail.com / josephinenamirimu2018@gmail.com
Cheshire Services Uganda (CSU),,Non Governmental Organisation,Cheshire Services Uganda (CSU),,,Central,"Plot 1833, Kaduyu Road, Kyambogo opposite Inter-University Council of East Africa. P.o. Box 70012, Kampala.",All,,Social Development,,"Girls Education Challenge Transition Project: education sponsorship, livelihoods, health support, rehabilitation, advocacy and campaigning, water and sanitation and every day support for girls with disabilities.",Children with disabilities,,2563 Children with disabilities,Ongoing,March 2013,April 2024,Livelihood,Social assistance,"Education, Health",,Nakiyimba Hajjira / Bwire Magina / Namirimu Josephine,"Child protection and advocacy Manager / Monitorin, Evaluation and Learning Officer / Communications Officer",nakiyimba.hope@gmail.com / maginabwire@gmail.com / josephinenamirimu2018@gmail.com
Cheshire Services Uganda (CSU),,Non Governmental Organisation,Cheshire Services Uganda (CSU),,,Kawempe,"Plot 1833, Kaduyu Road, Kyambogo opposite Inter-University Council of East Africa. P.o. Box 70012, Kampala.",All,,Social Development,,"Girls Education Challenge Transition Project: education sponsorship, livelihoods, health support, rehabilitation, advocacy and campaigning, water and sanitation and every day support for girls with disabilities.",Children with disabilities,,2563 Children with disabilities,Ongoing,March 2013,April 2024,Livelihood,Social assistance,"Education, Health",,Nakiyimba Hajjira / Bwire Magina / Namirimu Josephine,"Child protection and advocacy Manager / Monitorin, Evaluation and Learning Officer / Communications Officer",nakiyimba.hope@gmail.com / maginabwire@gmail.com / josephinenamirimu2018@gmail.com
Choosen Generation Uganda,,Non Governmental Organisation,Choosen Generation Uganda,Individual & church sponsors from abroad,,Rubaga,"P.O.Box 10008, Kampala",All,,Education,,"Sponsorship for children, apprenticeship & vocational training: School fees payment, community awareness on child protection, skills training for the youths",Poor households & orphans,,,Ongoing,,,,,,,Peace Tugume,,peaceroma2005@gmail.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Nakawa,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Social Development,Empowerment of Vulnerable Girls and Young Women in the Slums of Kampala Program (PEVUS),"Vocational skills training, psychosocial support, peer to peer trainings, business skills training.",Girls and young women engaging in commercial sex work,,200 girls and women,Ongoing,2018,2020,Livelihood,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Makindye,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Social Development,Empowerment of Vulnerable Girls and Young Women in the Slums of Kampala Program (PEVUS),"Vocational skills training, psychosocial support, peer to peer trainings, business skills training.",Girls and young women engaging in commercial sex work,,200 girls and women,Ongoing,2018,2020,Livelihood,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Rubaga,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Social Development,Empowerment of Vulnerable Girls and Young Women in the Slums of Kampala Program (PEVUS),"Vocational skills training, psychosocial support, peer to peer trainings, business skills training.",Girls and young women engaging in commercial sex work,,200 girls and women,Ongoing,2018,2020,Livelihood,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Central,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Social Development,Empowerment of Vulnerable Girls and Young Women in the Slums of Kampala Program (PEVUS),"Vocational skills training, psychosocial support, peer to peer trainings, business skills training.",Girls and young women engaging in commercial sex work,,200 girls and women,Ongoing,2018,2020,Livelihood,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Social Development,Empowerment of Vulnerable Girls and Young Women in the Slums of Kampala Program (PEVUS),"Vocational skills training, psychosocial support, peer to peer trainings, business skills training.",Girls and young women engaging in commercial sex work,,200 girls and women,Ongoing,2018,2020,Livelihood,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Nakawa,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Education,Urban Youth Development Project,"Vocational skills training, business and entrepreneur skills training, sports activities, MDD activities and SHR services like VHT",Urban slum youth between 13-24 years,,1980 slum youth,Ongoing,2017,2019,Livelihood,,Health,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Makindye,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Education,Urban Youth Development Project,"Vocational skills training, business and entrepreneur skills training, sports activities, MDD activities and SHR services like VHT",Urban slum youth between 13-24 years,,1980 slum youth,Ongoing,2017,2019,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Rubaga,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Education,Urban Youth Development Project,"Vocational skills training, business and entrepreneur skills training, sports activities, MDD activities and SHR services like VHT",Urban slum youth between 13-24 years,,1980 slum youth,Ongoing,2017,2019,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Central,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Education,Urban Youth Development Project,"Vocational skills training, business and entrepreneur skills training, sports activities, MDD activities and SHR services like VHT",Urban slum youth between 13-24 years,,1980 slum youth,Ongoing,2017,2019,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Education,Urban Youth Development Project,"Vocational skills training, business and entrepreneur skills training, sports activities, MDD activities and SHR services like VHT",Urban slum youth between 13-24 years,,1980 slum youth,Ongoing,2017,2019,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Nakawa,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Social Development,Safe and Inclusive Cities Program,"Influencing urban governance and development for making cities safe and inclusive for young women and men by vocational skills training, research, VSLAs.",,,250 Young men and women,Ongoing,2018,2021,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Makindye,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Social Development,Safe and Inclusive Cities Program,"Influencing urban governance and development for making cities safe and inclusive for young women and men by vocational skills training, research, VSLAs.",,,250 Young men and women,Ongoing,2018,2021,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Rubaga,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Social Development,Safe and Inclusive Cities Program,"Influencing urban governance and development for making cities safe and inclusive for young women and men by vocational skills training, research, VSLAs.",,,250 Young men and women,Ongoing,2018,2021,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Central,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Social Development,Safe and Inclusive Cities Program,"Influencing urban governance and development for making cities safe and inclusive for young women and men by vocational skills training, research, VSLAs.",,,250 Young men and women,Ongoing,2018,2021,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,Social Development,Safe and Inclusive Cities Program,"Influencing urban governance and development for making cities safe and inclusive for young women and men by vocational skills training, research, VSLAs.",,,250 Young men and women,Ongoing,2018,2021,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Nakawa,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Makindye,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Rubaga,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Central,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",All,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BANDA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BUGOLOBI,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BUKASA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BUKESA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BUKOTO I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BUKOTO II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BUSEGA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BUTABIKA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BUZIGA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BWAISE I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BWAISE II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",BWAISE III,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",CIVIC CENTRE,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",GGABA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",INDUSTRIAL AREA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",ITEK,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KABALAGALA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KABOWA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KAGUGUBE,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KAMWOKYA I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KAMWOKYA II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KANSANGA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KANYANYA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KASUBI,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KATWE I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KATWE II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KAWEMPE I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KAWEMPE II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KAZO ANGOLA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KIBULI,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KIBUYE I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KIBUYE II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KIKAAYA,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KISENYI I,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
Uganda Youth Development Link (Uydel),,Non Governmental Organisation,Uganda Youth Development Link (Uydel),,,Kawempe,"P.O. Box 12659 Kampala, Sir Appolo Kagwa Road, Bifro House",KISENYI II,,"Justice, Law and Order ",Engaging urban authorities and local government to prevent and respond to commercial sex exploitation of children in greater Kampala and Wakiso,"Advocacy and lobbying, awareness raising","Private sector, government and local government actors, the victims of CSEC",,,Ongoing,2017,2020,,,,,Kasirye Rogers,,kasiryer@yahoo.com
